,Unnamed: 0,airline_name,author,author_country,content,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating,Month,Year,recommended
25845,39298,virgin-atlantic-airways,D Day,United Kingdom,"LHR-ORD-LHR, VS39/VS40, UPPER CLASS. Heathrow Lounge best in the world. Cabin on A330 very tight on space. Food mediocre. Cabin crew outbound good. Return crew inattentive and rushed. Worst of all is the coffin like, herringbone, Upper Class seats. They are narrow and extremely uncomfortable. The saddest thing is that Virgin Atlantic used to be the best airline transatlantic. No longer, and they are not listening to their loyal customers. The overall product is average at best. They are still better than BA, but far behind the Middle East and Asian airlines.",Business Class,4,1,2,2,1,3,6,2015,1
22347,34740,tap-portugal,G Leach,United Kingdom,A very smooth and competent trip from Lisbon to London Gatwick. Nice to have bigger seats than Easyjet and a free sandwich/drink too!,Economy,10,5,5,4,2,5,10,2014,1
23534,36263,thomson-airways,A Marks,United Kingdom,Flew BRS - EFL on 29/05/2014 and return leg on 05/06/2014 on a 757-200. Positives first both flights on time and landed early cabin crew were polite and helpful and leg room was just about OK bearing in mind I'm 6ft 2in but for a 3.5 hour flight it was OK even with the window seat. The negative the plane was dirty on the inside and we were the first flight that plane had done one the way out no excuse really for Thomson apart from cutting corners with cleaning! Also the plane was very old now it works and got us there and back but was rather tatty in places and could do with a re-furb or replacement! Overall it was good like I said on time friendly staff just a bit dirty/grubby and old/tatty will use them again if the price is right!,Economy,8,3,5,3,0,4,6,2014,1
10609,15330,emirates,Foin Valery,Australia,I flew from Adelaide to Paris a couple of days ago. Having heard of the really good reputation of Emirates I was looking for to it. I was rapidly disappointed with a very basic service more than average food and their ICE entertainment system really not user friendly with a lack of movie choices. By experience there are far better airlines on offer for a better price too. Travelling back to Australia in a couple of weeks hopefully they will prove me wrong.,Economy,1,2,1,1,1,1,1,2015,0
11162,15924,etihad-airways,Laurence McCarthy,Malaysia,"Have flown Etihad for many years. My last trip has made me somewhat less enthusiastic. Issues started when I went to KL Ticket Office to change my flights. They changed flights for GBP300 per seat, used to be GBP175 and told me I could no longer have a car from Heathrow to my home at the end of the journey. I explained that I was offered a car when I made the booking, but they said the fare rules had now changed and I was no longer entitled a car. After much complaining and nearly an hour waiting I finally got to speak with the local General Manager. I again stressed I had been offered a car when the booking was made, so I felt they could not simply change the rules. Eventually after 4 days of back and to emails, they confirmed the car from Heathrow. Check in is always a disaster, ditto the Lounge they use. With a couple of flights a day and now with First Class they should either choose a new partner or open their own lounge. The Emirates Lounge is fantastic at KLIA. Flights okay, service and quality of food definitely on the down swing. It's okay but used to be great. Bigger planes mean less attention for passengers which is were Etihad scored in the past. A re-think maybe, before Qatar Airways or Emirates (even BA) start to steal your premium passengers on this route.",Business Class,7,4,3,3,3,4,6,2015,1
11795,16627,etihad-airways,P Ervin,Egypt,BKK-AUH-CAI. Flight from BKK to AUH was on a Boeing 777 and excellent Pearl Business lay flat seats. Flight from AUH to CAI was a very old Airbus 319. Small plane cramped seating old and worn fabric. Recliners didn't really recline and the screen was in the armrest. Limited menu due to 4 hour flight time. Uncomfortable and ridiculous for the amount we paid.,Business Class,3,2,4,3,3,2,1,2014,0
11191,15957,ethiopian-airlines,Frank Rispin,Ethiopia,March 2014. Addis to London on Dreamliner. Had full breakfast in the best value cafe in Terminal 2 at Bole this is the one in the back row of shops not the London cafe. When I came out of there the queue for gate security had increased hugely but they came to the back looking for us London passengers and speeded us through. Flight left a little late but arrived early. This was the Monday daytime flight. Amazing views all the way including the Alps. Flew into Heathrow via superb views of Crystal Palace FC and Twickenham Stadium. Food and service first class.,Economy,10,4,5,5,1,4,6,2014,1
8066,11273,british-airways,R Thompson,Canada,Flew World Traveller Plus for the first time. Our trip was to and from LHR from Toronto YYZ. When flying a distance World Traveller Plus is well worth the little extra. Being a big guy - tall - I really appreciated the larger seats and the extra leg room. And the on-board staff were super. Will never fly regular economy again if at all possible. Unfortunately we got caught in the baggage screw-up at Heathrow on Friday June 6th. We made it back to Toronto OK but our luggage was just delivered to our house today Wednesday June 11th. I guess that one must remain philosophical when these things happen. I'm just glad that it was at the end of our vacation and not the start. All-in-all I will definitely fly British Airways again.,Premium Economy,7,5,5,5,5,4,6,2014,1
9129,12508,china-southern-airlines,Laura Humphries,United States,14th March flight number CZ327. Flew from Guangzhou to Los Angeles on 330-200 for a business trip. Good facilities at the airport very kind and helpful staff good baggage allowance. No delays. The seat on this plane was comfortable. They could do better on the food and entertainment.,Economy,8,5,5,4,4,5,3,2014,1
14012,20181,interjet,Ashil Lunka,Mexico,Flew MEX-MID return just a week ago. Flight there went smoothly great jetBlue-like service with free snacks and drinks and friendly cabin crew. No seatback entertainment system (only dropdown screens) and the in-seat audio system didn't work at all but I didn't really mind since it was only a 1 hour flight. On flight back due to change of plans I ended up arriving at MEX much earlier than planned and to shorten the wait for the flight I asked for an earlier flight got one that departed 1 hour earlier at no additional charge (which may not be a plus as seen later in the story). Boarded the flight everything went just as well as before until approach to MID. Pilot comes on the radio and says that there will be a 10-15 minute delay because of weather. So the plane circles around a bit (in heavy turbulence I might add) and 20 minutes later the pilot comes over the radio and says that we're diverting to CUN. We diverted to CUN waited an hour on the ground and went back to MID. At MID I checked the board and the flight I was originally booked on had arrived on time. Thankfully I wasn't connecting or doing anything important but still. However I can't blame the airline for the weather and it's a good airline.,Economy,8,4,5,5,3,5,7,2014,1
18104,26960,oman-air,Simon Brown,United Kingdom,LHR-MCT-BKK return. Outbound ok. Decent seat pitch in economy and meals plentiful. Muscat has no airbridges so it's all bus transfers. MCT is a small airport with limited food and beverage facilities. Return leg delayed on departure from BKK meaning there was only 15 mins in MCT to get my connecting flight to LHR. Upon clearing Customs I was ushered to the gate for connecting flight. Reaching the aircraft we were told there would be a further delay as connecting flight from Katmandu was late. In the end we were 1.5 hrs late. Arrived in London 1.5 hrs late. All in all I cannot complain. AVOD is ok but not the latest releases. For the price vs service pretty good all round.,Economy,8,4,4,5,4,5,4,2012,1
17376,25725,lufthansa,G Howman,Qatar,DOH-FRA-YVR: Both legs of flight on A340 aircraft. Not my optimum choice of long-haul platform; however Lufthansa really made the best of things. Traveled economy both legs yet found that both seat space and leg room were more than adequate. Food was so-so and selection of movies average. However cabin crew were very attentive and customer oriented. This airline is becoming my airline of choice.,Economy,8,5,5,3,3,4,1,2014,1
11635,16466,eva-air,I Suttie,United Kingdom,I am a regular passenger on EVA Air flying from LHR-BKK-LHR in their Business Class. The recent changes from almost flat to full recline with their seating is a definite improvement. I sleep a little on these but never did on the older style seats. The cabin crew are always polite professional and friendly. The lounges at both LHR and at BKK are comfortable and serve a good selection of food and beverages. The aircraft's are clean and well equipped with amenities.,Business Class,10,5,5,4,5,5,7,2014,1
24779,38000,turkish-airlines,D Graubard,United States,FCO-IST-ADS-IST-BCN over a 4 day period early December. A320 or 737 aircraft - all in decent shape. Seat comfort is fine and on the 737s the leg room was larger then some premium economy flights I've been on. Where Turkish excels is the food - quality and quantity beat any airline hands-down and I've travelled on over a hundred airlines. Flight attendants were friendly and all spoke English well. On-time or within 10 minutes of schedule - Ataturk Airport is a mess and all flights arrived or departed via gate stand so dealing with buses to and from the planes gets annoying. Overall for the money paid Turkish gives a good product. Again - as stated by many people- they keep their planes too warm. I wouldn't fly them on anything longer then 4 hours.,Economy,9,4,4,5,3,4,12,2013,1
20963,31647,south-african-airways,Derek Salter,South Africa,Travelled economy between Cape Town and New York via Johannesburg. The flight to New York is one of the longest in the world - 15.5hrs. But it went by quickly and smoothly. The staff were extremely helpful provided two main meals and regular snacks and water. The seat was comfortable with good leg room. Highly recommended. Immigration in NYC Terminal 4 has improved a lot and was very quick especially if you are a regular visitor. At Jo'burg on return no lines and through to collect baggage quickly. Flight entertainment varied good size screens but some were faulty at times and system had to be re-booted occasionally. Toilet facilities kept very clean.,Economy,9,5,5,5,4,5,4,2015,1
2913,3871,air-france,R Donnelly,United States,We flew from Atlanta to Paris. From the minute we entered the international terminal in Atlanta GA to the minute we left Paris on an Air Austria flight bound for Vienna I have nothing but wonderful things to say about AF. The staff in Atlanta went beyond their job description to make our check in and transition to the jet as perfect as it could be. Yes the food isn't gourmet but it was hot tasty and filling. We had a decent Merlot and our stewardess served us each 2 little bottles of VSOP Cognac. The cabin was clean and comfortable. A great selection of movies. There was more leg room than on domestic flights. Service was kind and considerate. The cabin was darkened and it was quiet and easy to rest. We were served a basic fruit/coffee/muffin breakfast nothing fancy but it was OK. All in all the best thing about AF is the people.,Economy,10,4,5,3,5,5,5,2014,1
4101,5516,airasia-x,P Elliott,Australia,March 2014 Adelaide to Kuala Lumpur and from KL down to Perth a week later. Air Asia has had a number of excellent promo fares. In general $200 out of Australia and $100 into Australia. We paid $15 for seat reservation in the quiet child-free cabin. That was an excellent choice as the cabin is kept for people who booked seats in it. The curtains are drawn and the staff police it from anyone wandering in. On the Adelaide - KL sector we got a middle seat free. On the KL - Perth sector we could spread out on 3 seats each. I wouldn't bother with a premium seat unless on a night flight. We took extra food and our tablets loaded with entertainment. The meals we pre- ordered were ok. The flights went smoothly and we arrived early each time. There's an in-flight magazine in the seat back and you can always watch the stewardesses. Their uniform is world famous. The low cost terminal in KL is a shocker so you need to put on your blinkers and deal with it. There's banks a duty free shop water to drink and toilets. The new low cost terminal will open soon and it looks wonderful. We pre-purchased a SIM card and that was ready and waiting on arrival before the duty free shop so I could make calls immediately. Taxi vouchers are sold after luggage collection. And within an hour you are at your KL hotel. The departure to Perth was of a morning so we stayed at the Tune hotel near the terminal. So it was easy to make the early flight. Oh I did online check-in for both flights. Baggage drop was quick and easy. I didn't pay any attention to the offers from Optiontown as the Air Asia X product is ok. We'll be happy to use Air Asia X again any time in future.,Economy,10,4,5,4,0,5,3,2014,1
2991,3977,air-india,Sean Singh,Singapore,AI 102 from JFK to DEL on their non stop service. I would rate the trip to be completely satisfactory. Comfort - This is what the trip is about. Kudos to AI team for having their Boeing 777-300ER to be configured as 3-3-3 seating instead of 3-4-3 seating which many airlines do this translates to excellent seat space and good leg room. The trip has perfect timings and usually reaches Delhi well ahead of schedule. Food - Being from Indian origin I liked the food which is hot and a little spicy. Entertainment - Now many would want a great entertainment units for this flight and even would have made plans to watch a lot of things inflight well don't this flight is great to sleep and rest. The movie selection was not great and their interface needs improvement Crew - Now there are a lot of small things that make an airline great and I do tend to see them from the captain speaking about the journey and enthusiasm of the crew with a big smile each time they serve. Transfer at Delhi was fast and breezy. Overall even though there are a few shortcomings I would recommend this flight.,Economy,8,5,4,4,3,5,4,2014,1
5512,7572,ana-all-nippon-airways,A Leibiebowitz,United States,PVG-NRT-JFK Shanghai-Tokyo-New York 6/5/2014: Both flights on 773 one older livery and one new both 3 class. I was originally booked for business class my husband was supposed to be as well however after a screw up by our travel agent he found himself in economy. Although I did not cause a disturbance at the counter I guess my face showed my disappointment at the incompetence of our travel agent. To my surprise the woman checking us in bumped me to first for the first leg of our flight because they couldn't help my husband at that point. Upon our arrival at NRT before disembarking there was an announcement for my husband to see a cabin attendant. They found a seat for him in premium economy NRT-JFK with no extra charge. My husband reported that economy service and entertainment options were very good and the seats were comfortable. I briefly checked out the lounges as I did not want to abandon my husband for too long. Lounges had a good selection of food table service bar changing room etc. In-flight the attendants are what you expect from Japanese service including bowing in multiples. I had a chance to enjoy a full Japanese meal and a Western meal both near excellent the Japanese meal edged ahead for presentation. The entertainment system was not the best I have experienced but it was very good and there are plenty of English and Japanese movies and programing to choose from. The staggered seats are comfortable I have no real problem with the foot cubby. I was pleased to find each seat had an additional cushion which unfolded for making the lie-flat seats even and more comfortable for sleeping. I used it the whole flight even when sitting up. I recommend choosing a seat with the side-table on the aisle they are more private. The check-in and in-flight crew on ANA is one of the most attentive and gracious I have ever come across. In my experience ANA's rating is well deserved.,Business Class,10,4,5,5,4,5,6,2014,1
16426,24532,malaysia-airlines,Peter Moran,Australia,Reasonable Business Class Product but economy is not as god as other full service airlines. Flew BKK-KUL economy KUL-SYD Business and SYD-KUL-BKK economy. Business was due.to an MH Upgrade bid being accepted. I found the staff in business were friendly and proactive but in economy they can be surly and do not go out of their way at all to be of assistance. Golden Lounge in KUL was large but the food selection was limited despite Malaysia having some excellent dishes. On board the satay was excellent but my chef on call meal was accompanied by very hard vegetables. Dessert had no choice and was not exciting. Wine choice was excellent. The seat is better than economy but the angle made me feel like I always had to prop myself up so thank goodness for the footrest. Economy food was lacklustre and the wine is just palatable. Service not happy no menus and it took more than an hour for drinks to be served on a two hour flight. I did not see the staff come through with water or other drinks once. IFE is OK but it takes some time to get going and the collect the headphones a long time before landing and then show arrival videos. OK for a first time flyer but annoying for more frequent travellers. Overall it was safe online check in 48 hours before flight is good safety not an issue. MH just needs to elevate staff attitudes and encourage a bit more friendliness and the perception of their product will improve even if the hard product does not. Good prices make MH a decent choice but they are not as good as other one world carriers.,Economy,5,3,2,2,3,4,3,2015,1
20257,30256,saudi-arabian-airlines,R Santos,Philippines,Damman to Manila SV862 November 28 2012. Seat was very spacious was seated in the upper deck. Flight attendant explained it was business class seats but economy service. Flight attendant was very professional polite and even helped me stow my bags.,Economy,9,4,5,5,3,4,12,2012,1
25444,38820,united-airlines,Galimidi Yves,Belgium,Nightmare with United last week. I had a 1st class ticket Miami-Chicago on UA and Chicago-Zurich-Brussels on Swiss 3 flights on one ticket. Connecting time in Chicago 3 hours and 25 minutes. Checked-in in Miami for my UA flight and Y flight was delayed several times. Finally the plane landed. Ready for boarding and then technical failure was announced. Staff did not know if and when the plane would leave. I explained my situation and asked to be rebooked on another airline any airline in order to leave Miami since I was supposed to have a knee surgery upon my return in Brussels. UA staff refused and were not polite at all. Finally at 8pm announcement that our flight was cancelled. I had spent nearly 7 hours at that airport. I was granted a room at the Holiday Inn airport which was fine and then food vouchers at the same hotel. In total 21 USD for lunch/dinner/breakfast. One thing is for sure never again United. I was rebooked on the day after Miami/Newark/Brussels on the day after first class domestic business class long-haul. Ok but far from the Swiss service standards.,First Class,1,3,1,2,3,3,5,2014,0
7657,10782,british-airways,S Shailes,United Kingdom,BA213 Heathrow to Boston 29/09/14 B747. There was nothing at all to commend this flight. I have had better comfort and service on low cost carriers. The seats must be the narrowest in class for any major airline. The business lounge at Heathrow is not well signed and awkwardly placed at the top of escalators. At 0830 in the morning the tables were overflowing with used crockery and waste food. When staff did appear they did a very cursory clearing job. Never once in two hours did I see any of the sticky tables being wiped down. On boarding I was neither shown to my seat nor addressed by name as I have been on other airlines. When I asked for assistance in putting my hand luggage in the overhead locker - I was told in no uncertain terms staff were not allowed to help. Again I have always had help on business flights on other airlines. In the air the level of discomfort rose as those in the inside seats were forced to jump over my out stretched legs and cabin staff leant over me to serve the inside seats. The level of service could not remotely be considered acceptable for the price paid. Add in poor food and IFE and decision to avoid BA flights in future was made for me.,Business Class,1,1,1,1,1,1,10,2014,0
15081,22548,klm-royal-dutch-airlines,R Simon,Austria,VIE-AMS-DFW on Aug 8 VIE-AMS on a 737-700 AMS-DFW on an old Airbus 330-200 both legs in Business Europe / World Business Class – VIE-AMS was on time FAs were friendly and attentive continental breakfast served was decent although not stellar as with most flight in Europe seats were economy seats with the middle seat left vacant. – AMS-DFW on-time on a tired but clean Airbus 330-200 with vintage 2-2-2 configuration. IFE was AVOD but screens were from previous century and picture quality poor selection was OK. WBC seats were just angle-flat and rather tired but comfortable for resting on a day flight. FAs were brilliant attentive and doing their job with a smile. Food served was quite good. Salmon Tartare and Indonesian Chicken Curry (or 2 other choices of Beef or Plaice) for lunch. Chili Prawns and Indonesian Beef (or Cod) for the second meal. It was nice that the product featured some Dutch (Indonesian) elements throughout the flight and was not just generic. Wines served were also nice with some interesting choices not just the standard fare. KL uses a shared airport lounge in VIE which is not particularly great but in line with other lounges in VIE and at least not overcrowded. KL’s Non-Schengen lounge in AMS was nice and spacious with a decent selection of drinks but with limited food choices. Transfer in AMS involved walking long distances but was otherwise hassle free. Overall I found KL to offer a good product for a day flight thanks to the soft product on board and the flights' on-time performance. Recommended for a day flight in spite of the old planes used on this particular transatlantic route.,Business Class,8,3,5,5,3,3,10,2014,1
11,11,adria-airways,Hashim Azlan,Malaysia,I was on JP650 the evening departure to Istanbul on 28th August. It was on a very clean Airbus A319 and it was a light load flight. The crew were warm and kind especially the Purser who took her time walked and talked to several passengers. They even offered me a pillow and blanket which I appreciated. A warm refreshment with selections of cold/hot beverage were offered on this 2 hours flight. We took off about 5 minutes earlier and landed more or less 20 minutes earlier. It was a relaxing flight and I do hope they will be flying to more destinations in the future since Slovenia is a beautiful and lovely country to visit.,Economy,7,4,5,3,3,5,8,2013,1
4521,6155,air-transat,P Smith,United Kingdom,Took a Christmas flight from London to Vancouver. This is the second time I have flown with the airline. I travelled on a newly refurb plan. I travelled with my family and we had a baby and paid additional money for the bassinet seat at the front. I really can't say one nice thing about this flight. The lighting is awful fluorescent mood lighting which appear not to work and was directly over the bassinet no method to dim. Seat arms are solid and could not be lifted up (unique to the front row middle) which is crazy. In addition all the galleys have been removed so there is one at the front and back with just row after row of seats. I fly a lot long haul and typically you have some space to stretch your legs or stand around. Not with this config. Food - rubber pasta with cheese sauce - this was not even edible. One positive point is they are cheap you do get what you pay for.,Economy,3,1,2,1,0,3,3,2013,0
18505,27595,philippine-airlines,Mariacielo Galam,Australia,"My partner and I traveled from Melbourne Australia last September this was my partner's first trip to Manila. He was appalled at the service onboard. Once the meals were being served he asked if he could have a scotch on the rocks to which the stewardess said very quietly to ""have a look "" in the kitchen? She came back with a half- empty bottle and her face expression was like ""don't tell anyone that we are serving wine beer or any kind of alcohol"". Food was alright and not too heavy on the stomach.",Economy,2,3,3,4,4,2,12,2013,1
17976,26724,oman-air,H Evans,United Kingdom,LHR to BKK via Muscat. Fantastic experience using Oman Business Class and will certainly use again. Price was excellent for this route we did book 7 months in advance. the service was great staff very friendly. Great food. Seat comfort and extras great. Wi-fi and mobile use available inflight.,Business Class,10,5,5,5,4,5,1,2013,1
22128,34473,tam-airlines,A Driver,United Kingdom,I flew business class with TAM recently from London to Sao Paulo and back. Fortunately this was paid for by the people who invited me to lecture in Brasilia because if I had been paying I would not have been happy. The seating arrangements were reasonable but the service was poor at best and the food was sub-economy standard on most airlines. The poor service include having to ask for most things and not being offered anything (like drinks) more than once several mistakes on the breakfast order non-availability of several food items on the menus generally morose staff etc etc. This was really poor TAM - you are letting your country down and you need to get your act together with the Olympics looming fast!,Business Class,2,3,1,1,4,2,5,2015,0
25486,38865,us-airways,Phil Hawkins,United States,My 92-year-old father flew from Denver to Asheville NC and when we got to Denver there was a guy at the ticket counter who helped my dad with his ticket luggage and wheelchair. He could not have been nicer or more helpful. The lady who came with the wheelchair was a nice and patient as she could be with him. He reported later that all personnel with US Airways were very attentive and helpful in getting him through the airport. They may have been bad in the past but this time they were the best airline I've seen.,Economy,10,4,5,3,3,4,10,2013,1
274,355,aer-lingus,C Macon,Ireland,Firstly do not be tempted to sit in seats 31 E D F G or 29 A C H I on the Dublin to Boston route the Aer Lingus website will not show that these seats do not recline. I flew Aer Lingus DUB-BOS-DUB in August 2014. It has good staff reasonable planes and routes. But it is really badly let down by its archaic web site with no access to your booking or seat selection before check in tacky interiors with seat pockets hanging off cramped seats some the worst airplane food I have ever had the misfortune to eat. On my transatlantic flight I ended up sitting for 6 hours on the way out in a seat that didn't recline with the person in fronts seat wedged in my face. On the way back I was determined not to let this happen again so chose a middle aisle seat with apparently (on the online check-in website) had seats behind and in front However instead I got a lovely seat beside the toilet which didn't recline as there was a bulkhead behind not shown on their plan. Online check-in is worthless as you still have to queue up in Boston and your carefully printed ticket is torn up and binned. Overall the whole experience was so poor I would much rather go with an airline that actually wants to give passengers a reasonable experience even if it takes a few hours longer to get to my destination.,Economy,2,1,4,1,3,3,8,2014,0
26590,40195,volaris,L Zarate,United States,Unacceptable experience in May on an LAX to Guadalajara flight. Chose Volaris because they had the lowest price. However their strange new luggage policies negated any financial savings. You don't get to bring as many lbs onboard as with other airlines and they are incredibly strict about this requirement. We had 2 checked bags and 2 pieces of carry-on luggage which they insisted we re-balance until all 4 weighed exactly the same. They don't let you do this at the counter so you have to get out of line and open your bags in the back of the terminal move things around and then stand in line again. It took us 4 tries and 1.5 hours to actually check in the 2 bags and we barely had time to make it to the gate and board. Considering all 4 bags flew on the same airplane it obviously wasn't a question of excess weight. When I priced return trip tickets the additional baggage charges made their rates completely uncompetitive and low prices were the only reason we had for flying Volaris.,Economy,1,4,3,3,2,2,7,2013,1
10896,15619,emirates,D Samonte,Australia,Fortunate enough to fly EK without going to Dubai flew MEL-AKL-MEL aircraft on both ways were the A380-800 very good experience on both ways both on time. Food was fine FA's are very attentive the ICE entertainment was top class. Would fly them again in the future and would highly recommend them at least on this sector.,Economy,8,5,5,5,5,5,4,2014,1
11552,16382,eva-air,William MacCormac,United Kingdom,I've flown EVA regularly over the last 2 years - premium economy for this last flight. Only relatively good value nowadays as other carriers are getting closer. Space on Elite class. 30% more money gets slightly wider seat and decent leg room. The downside is the seat pitch isn't that great in my opinion. Just a couple of degrees more would make a huge difference to sleep quality. Food and Drink. This was the real weak point of EVA until recently. Things are a little better. Inflight entertainment. Film selection is ok but not so good is the music. It doesn't change enough and really isn't that good for western tastes. Journey. Keeping the temperature above freezing this time was a relief! And being a night flight to BKK is great and getting back to LHR in the evening is also good. My biggest gripe? The passengers who open the window blinds (when its light outside) and ruin everyone's sleep. When the cabin goes dark the blinds should all stay firmly down. I complained to the stewardesses but they didn't do anything very annoying!,Premium Economy,6,3,3,3,3,4,1,2015,1
4759,6487,airasia,Ian Roberts,United Kingdom,CNX-KUL and PEN-BKK. For the price and bearing in mind this is a low cost carrier then very good. Pre-ordered food on CNX-KUL arrived without hitch - as did flights and luggage. Delay ex PEN due to storm but part made up despite flight being only 1hr 15mins. Seats are a little cramped but to be expected and overall a very good product. Crews all good and despite full loads relaxed and charming.,Economy,10,4,5,0,0,5,3,2012,1
